Nom structure,Doc,Nom de la salle à louer,Surface salle à louer,Barres,Miroirs,Sono,Tapis de sol sur plancher,Plancher / parquet,Piano,Studio d'enregistrement,Vestiaire,Info complémentaire,Tarif location régulière pour cours ou stage (prix / heure),Tarif min. location ponctuelle (prix / heure),Tarif max. location ponctuelle (prix / heure),HT / TTC,Informations tarifs,Contact spécifique : tél,Contact spécifique : mail,,,,,
Deep Side Center,,Salle Expo,70,,X,X,,X,,,X,"Hauteur sous plafond 4,5m.",35,20,40,TTC,Tarifs différents semaine / week-end.,,,,,,,
Deep Side Center,,Salle Clubbing,50,,X,X,,X,,,X,,40,25,45,TTC,Tarifs différents semaine / week-end.,,,,,,,
Studio harmonic,,Salle A,180,X,X,X,X,,X,,X,,,,,,Tarifs sur demande.,,,,,,,
Studio harmonic,,Salle B,140,X,X,X,X,,,,X,,,,,,Tarifs sur demande.,,,,,,,
Studio harmonic,,Salle C,140,X,X,X,X,,X,,X,,,,,,Tarifs sur demande.,,,,,,,
Studio harmonic,,SAlle D,60,X,X,X,,X,,,X,,,,,,Tarifs sur demande.,,,,,,,
Studio harmonic,,Salle E,40,X,X,X,,X,X,,X,,,,,,Tarifs sur demande.,,,,,,,
Studio harmonic,,SAlle F,90,X,X,X,,X,X,,X,,,,,,Tarifs sur demande.,,,,,,,
Studio harmonic,,Salle G,180,X,X,X,X,,X,,X,,,,,,Tarifs sur demande.,,,,,,,
Studio harmonic,,Salle H,30,X,X,X,,X,X,,X,,,,,,Tarifs sur demande.,,,,,,,
ACP la Manufacture Chanson,Loc1,Espace Christian Dante (salle de spectacle),55,,,X,,,X,,,"Salle de spectacle avec chaises pliantes démontables, plateau de 12m².",,15,24,TTC,Un droit d’accès (à partir de 20€) sera demandé pour la mise à disposition des salles (valable du 1er septembre 2012 au 31 août 2013).,,,,,,,
