Nom structure,Type cours,Nom cours,Jour de la semaine,Heure du début,Heure de fin,Durée,Age1,Age2,Age3,Nom Prof,Info cours1,Info cours2,Niveau1,Niveau2,Age min.,Age max.,Cours individuel / particulier,Cours pour handicapés,Récurrence,Pas cours pendant les vacances scolaires,Date début,Date fin,Stage : J1 (ou cours à plusieurs jours),Heure de début J1,Durée J1,Stage : J2,Heure début J2,Durée J2,Stage : J3,Heure de début J3,Durée J3,Stage : J4,Heure de début J4,Durée J4,Stage : J5,Heure de début J5,Durée J5,Adhésion / inscription annuelle obligatoire ?,Prix (à p. de) adhésion/inscription annuelle adultes,Prix (à p. de) adhésion/inscription annuelle enfants,Ne peut pas être rejoint en cours d'année,Gratuit,Prix cours individuel / stage (adhésion obligatoire ou non),Prix cours annuel (1 cours / semaine),Forfait : 2 cours / semaine,Prix cours par semestre,Prix cours par trimestre,Prix cours par mois,Prix carnet 5 cours,Durée validité carnet 5 cours (en nbre de mois),Prix carnet 10 cours,Durée validité carnet 10 cours (en nbre de mois),Prix carnet 20 cours,Durée validité carnet 20 cours,Prix carnet 30 cours,Durée validité carnet 30 cours,Prix carnet 40 cours,Durée validité carnet 40 cours,Prix carnet 50 cours,Durée validité carnet 50 cours,Nbre de cours : XX,Prix carnet XX cours,Durée validité carnet XX cours ,Nbre de cours : YY,Prix carnet YY cours,Durée validité carnet YY cours,Nbre de cours : ZZ,Prix carnet ZZ cours,Durée validité carnet ZZ cours,Carte illimitée,Durée validité carte illimitée,Cours exclus de la carte illimitée,Info prix1,Info prix2,Promo,Tarif étudiant,Tarif jeunes / seniors,Tarif demandeur d'emploi,Tarif RSA / bas revenus,Tarif famille nombreuse,Prix dégressif à p. de 2 cours,Tarif couple,Autres tarifs préférentiels,Offre exceptionnelle,Prix cours d'essai,Infos cours d'essai,Détail,Prix1,Type Prix1,Prix2,Type Prix2,Prix3 : prix unitaire approx. (hors adhésion annuelle),Nbre semaines pour calcul Prix3,Paiement en ligne ?,Formule 1,Formule 2,Formule 3,Formule 4,Infos et conditions,Nbre places dispo en réservation CB,Info RIB Partenaire,Audition préalable obligatoire,"Possibilité remboursement ultérieur, si oui, condition",Promotion,Info1&2,Conc.1
Deep Side Center,Cours,Body sculpt,Lundi,6:00 PM,,1:00 AM,Adulte,,,Papy Nindo,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,,,,,,,Deep Side CenterCoursBody sculptAdulteTN
Deep Side Center,Cours,Afro Tonic,Lundi,7:00 PM,,1:00 AM,Adulte,,,Papy Nindo,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,,,,,,,
Deep Side Center,Cours,Zumba,Lundi,8:00 PM,,1:00 AM,Adulte,,,Papy Nindo,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,,,,,,,
Deep Side Center,Cours,Zumba,Mardi,6:00 PM,,1:00 AM,Adulte,,,Camille,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,,,,,,,
Deep Side Center,Cours,Zumba,Mardi,7:00 PM,,1:00 AM,Adulte,,,Camille,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,,,,,,,
Deep Side Center,Cours,Zumba,Mardi,8:00 PM,,1:00 AM,Adulte,,,Déborah,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,,,,,,,
Deep Side Center,Cours,Afro Tonic,Mercredi,7:00 PM,,1:00 AM,Adulte,,,Papy Nindo,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,5,,,,-15%,,
Deep Side Center,Cours,Zumba,Mercredi,8:00 PM,,1:00 AM,Adulte,,,Camille,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,,,,,,,
Deep Side Center,Cours,Zumba,Jeudi,6:30 PM,,1:00 AM,Adulte,,,Camille,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,,,,,,,
Deep Side Center,Cours,Zumba,Jeudi,7:30 PM,,1:00 AM,Adulte,,,Camille,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,,,,,13,/ cours,120,/ carnet de 10 séances,13,1,,,,,,,,,,,,,
