Nom structure,Logo,Photo,Type structure,Plusieurs lieux en France (en réseau ou en franchise),Nom2,Rue (adresse du lieu d'enseignement),CP,Info adresse,Jour(s) de fermeture,Accès handicapés ?,Centre de formation pro ?,Nombre de salles,Location de salles ?,Site web,Newsletter (à laquelle je souscris via l'adresse bloginfolbc@gmail.com),Réservation cours possible en ligne,Réservation en ligne : site web,Réservation obligatoire en ligne,Adhésion / inscription possible en ligne,Adhésion / inscription : site web,Info inscription,Formulaire d'inscription à remplir,Pour inscription : photocopie carte d'identité,Pour inscription : photo d'identité,Pour inscription : règlement sur place,Pour inscription : certificat médical de moins de 3 mois,Pour inscription : attestation d'assurance,Limite avant annulation sans frais (en nombre de jours),Fixe,Portable,Mail,Mail2,Nom contact,Chèques vacances acceptés,Coupons Sports ANCV accepté,"Tickets loisirs C.A.F. acceptés (y compris les ""tickets temps libre"")",Possibilité financement par l'AFDAS,AFDAS : Possibilité financement DIF,AFDAS : Possibilité financement CIF,Info,Cours annuel uniquement : inscription impérative à cette date précise,Discplines,Attendre début janvier avant de référencer
Deep Side Center,Logo1,Photo1,Ecole privée,,,19 rue de Mont Louis,75011,,,,,2,X,http://www.deepside.eu/,,X,http://www.deepside.eu/form/reservation.html,X,,,Pas d'adhésion annuelle pour le 1er cours.,Form1,X,X,X,X,,2h avant le cours.,,06 77 13 61 00,dansecoaching@gmail.com,,Papy Nindo,,,,,,,,,,
Studio harmonic,Logo2,Photo2,Ecole privée,,,5 passage des Taillandiers,75011,,Dimanche,,X,8,X,http://www.studioharmonic.fr/,X,,,,,,Pas d'adhésion annuelle pour les cours individuels.,,,,X,X,,,01 48 07 13 39,,,,,X,X,X,X,,,"Paiement par chèques vacances, coupons Sports ANCV, CAF et AFDAS : uniquement les cartes",,,
L’Académie de L’Acteur Oscar Sisto / Pascal Seguin,Logo3,Photo3,Ecole privée,,Théâtre du Marais,37 rue Volta,75003,,,,X,,,http://www.acadacteur.com/,,,,,,,,Form2,X,X,,,,,01 44 64 13 88,,administration@acadacteur.com,,,,,,,,,,,,
Association Culturelle pour l'Expansion Musicale (ACEM),,,Association,,Cité Internationale des arts,18 rue de l’hotel de ville,75004,,,,,,,http://www.music-acem.com/,,,,,,,,Form3,,,,,,,01 43 14 21 11,,contact@music-acem.com,,,,,,,,,,,,
ACP la Manufacture Chanson,,,Association,,,124 avenue de la République,75011,,,,X,,X,http://www.manufacturechanson.org/,X,,,,,,,,,,,,,,01 43 58 19 94,,acp@manufacturechanson.org,,,,,,X,X,,,,,
Académie Inter Musicale de Paris - Mistral,,,Association,,,16 villa Fréderic Mistral,75015,,,,,,,http://www.aimparis.fr/,,,,,,,,,,,,,,,01 45 65 01 02,01 78 76 67 63,am15m@aimparis.fr,,,,,,,,,,,,
Académie Inter Musicale de Paris - Convention,,,Association,,,85 rue de l'Abbé-Groult,75015,,,,,,,http://www.aimparis.fr/,,,,,,,,,,,,,,,01 45 65 01 02,01 78 76 67 64,am15m@aimparis.fr,,,,,,,,,,,,
Académie Inter Musicale de Paris - 14ème,,,Association,,,"5, rue Boyer-Barret",75014,,,,,,,http://www.aimparis.fr/,,,,,,,,,,,,,,,01 45 65 01 02,01 78 76 67 63,am14@aimparis.fr,,,,,,,,,,,,
Académie Inter Musicale de Paris - 13ème,,,Association,,,"8, rue Albert Bayet",75013,,,,,,,http://www.aimparis.fr/,,,,,,,,,,,,,,,01 45 65 01 02,01 78 76 67 61,am13@aimparis.fr,,,,,,,,,,,,
Académie Inter Musicale de Paris - 12ème,,,Association,,,"8, rue Wattignies",75012,,,,,,,http://www.aimparis.fr/,,,,,,,,,,,,,,,01 45 65 01 02,01 78 76 67 62,am12@aimparis.fr,,,,,,,,,,,,
Académie Inter Musicale de Paris - Bastille,,,Association,,,"11, rue Amelot",75011,,,,,,,http://www.aimparis.fr/,,,,,,,,,,,,,,,01 45 65 01 02,01 78 76 67 60,am11bastille@aimparis.fr,,,,,,,,,,,,
Académie Inter Musicale de Paris - Voltaire,,,Association,,,"16, rue Gerbier",75011,,,,,,,http://www.aimparis.fr/,,,,,,,,,,,,,,,01 45 65 01 02,01 78 76 67 60,am11voltaire@aimparis.fr,,,,,,,,,,,,
Académie Inter Musicale de Paris - Secrétariat Central,,,Association,,,"1, rue Henri Becque",75013,,,,,,,http://www.aimparis.fr/,,,,,,,,,,,,,,,01 45 65 01 02,,musicale@aimparis.fr,,,,,,,,,,,,
Allez Samba - 75011,,,Association,,Centre cours des Lions,9 rue Alphonse Baudin,75011,,,,,,,http://www.allez-samba.com/,,,,,,,,,,,,,,,,06 62 83 60 68,allez.samba@gmail.com,,,,,,,,,,,,
