lasocieteartistique@wanadoo.fr;Nom de la structure;Site web;1_N° + Rue;1_Code postal;1_Ville;2_N° rue;2_Code postal;2_Ville;3_N° rue;3_Code postal;3_Ville;4_N° rue;4_Code postal;4_Ville;5_N° rue;5_Code postal;5_Ville;1_Discipline;2_Discipline;3_Discipline;4_Discipline;5_Discipline;6_Discipline;7_Discipline;8_Discipline;9_Discipline;10_Discipline;"Email 1 =if(or(AD7=AD6,AD7=AD8),""doublon"","""")";Email 2;Email 3;Email 4;Email 5;Tél 1;Tél 2;Tél 3;COMMENTAIRES;Evaluation du référencement : +/-;Qui ?;Rajout
2438;Oval'Mines;http://ovalmines.fr/;130 rue Saint Maur;75011;Paris;;;;;;;;;;;;;Rugby;Self-défense;;;;;;;;;bureau@ovalmines.fr;;;;;617124353;;;;;Mehdi;15/04/2014
2440;Compagnie Maya;compagniemaya.com;14 bis rue Saint-Maur;75011;Paris;40 rue de la Folie - Régnault;75011;Paris;16 rue Basfroi;75011;Paris;4 rue Keller;75011;Paris;56 rue de Picpus;75012;Paris;Théâtre amateurs;Hip-hop & break dance;Apprentissage d'une langue;;;;;;;;contact@compagniemaya.com;;;;;612966598;;;;;Elisa;15/04/2014
2442;Jour et Nuit Galerie;jouretnuitgalerie.com;14 rue Amelot;75011;Paris;;;;;;;;;;;;;Photographie numérique;Initiation à la photographie;Perfectionnement à la photographie;Photographie numérique;Photo de nature & extérieur;;;;;;coursphoto@jouretnuitgalerie.com;contact@jouretnuitcoursphoto.com;;;;612063514;;;;;Mehdi;15/04/2014
2443;Atelier Blanche Salant Paul Weaver;http://www.atelier-international-de-theatre.com/accueil.html;14 rue Crespin du Gast;75011;Paris;;;;;;;;;;;;;Improvisation théâtrale;Travail de la voix;Méthode Feldenkrais;Yoga autres;Relaxation & méditation;;;;;;etheatraux@gmail.com;etheatraux@yahoo.com;;;;143556961;;;;;Youness;15/04/2014
2445;Voces Latinas;voces.free.fr ;1 avenue Claude Vellefaux;75010;Paris;;;;;;;;;;;;;Chant choral;Techniques vocales;Chant & instrument;Musique baroque & Renaissance;;;;;;;crioryx68@yahoo.fr;;;;;607890529;;;;;Zara;15/04/2014
2446;Riva Carr Harris Luigia;;2 passage Thiéré;75011;Paris;14 rue du Grenier  Saint Lazare;75003;Paris;;;;;;;;;;Technique Alexander;Feng Shui & bien-être;;;;;;;;;rivaluigia@gmail.com;inbilico@hotmail.com;;;;677246792;142741570;;pas de photo;;Zara;15/04/2014
2447;La Cave du Daron;lacavedudaron.com;140 Avenue Pamentier;75011;Paris;;;;;;;;;;;;;Dégustation de cognacs, armagnacs & eaux-de-vie;Œnologie;;;;;;;;;ledaron@lacavedudaron.com;;;;;148062184;;;;;Guennole;15/04/2014
2449;Catherine Carton;catherinecarton.fr;146 Boulevard Voltaire;75011;Paris;;;;;;;;;;;;;Fabrication de meubles en carton;;;;;;;;;;catherinecorbelet@hotmail.com;;;;;688057365;140091276;;;;Fabrice;15/04/2014
2450;Ensemble Chorale Philomele;http://chorale.philomele.free.fr/;185 rue du Château des rentiers;75013;Paris;149 rue Oberkampf;75011;Paris;;;;;;;;;;Chant choral;Chant & instrument;;;;;;;;;chorale.philomele@free.fr;;;;;148051842;;;;;Mehdi;15/04/2014
2451;Stéphane Mirabel;youdanz.com/m/events/view/Stage-de-Jazz-avec-St-phane-Mirabel ;15 B rue de Dôle;25000;Besançon;;;;;;;;;;;;;Jazz, Street Jazz & Modern jazz;Rap, hip-hop & reggae;Tango, Chachacha, Samba, Forro & Mambo;Danse classique;Danse orientale;Barre au sol classique;Barre au sol contemporaine;;;;dansart25@gmail.com;;;;;616553303;;;;;Zara;15/04/2014
2455;La girafe en papier;http://lagirafenpapier.artblog.fr/;15 passage de la Main d'Or;75011;Paris;;;;;;;;;;;;;Sculpture papier;Dessin;Découverte dessin & peinture;;;;;;;;nadine.vitard@free.fr;;;;;685810071;;;;;Mehdi;15/04/2014
2457;Association Carillon;carillon.asso.fr ;3 bis rue Godefroy-Cavaignac;75011;Paris;3 rue du Général Renault;75011;Paris;;;;;;;;;;Chant & instrument;Guitare acoustique;Piano;Violon, violoncelle & alto;;;;;;;associationcarillon@neuf.fr;;;;;148054831;;;;;Youness;15/04/2014
2458;Forum du Mouvement;ecoleduspectacle.free.fr;15 rue Merlin;75011;Paris;31 avenue Parmentier;75011;Paris;12 rue Aristide Briand;94340;Joinville le Pont;;;;;;;Chant & instrument;Musiques mixtes;;;;;;;;;ecoleduspectacle@free.fr;angelique.dessaint@gmail.com;angelique-dessaint@orange.fr;;;148066801;608989284;;;;Youness;15/04/2014
2459;Les Musi'terriens;lesmusiterriens.org;15 rue Merlin;75011;Paris;7 passage du Chemin Vert;75011;Paris;;;;;;;;;;Découverte des musiques actuelles;Percussions;Chant choral;Orchestre & direction d'orchestre;Travail de la voix;;;;;;info@lesmusiterriens.org;;;;;648673914;;;;;Guennole;15/04/2014
2460;Milonga Olympe de Gouges;;15 rue Merlin;75011;Paris;;;;;;;;;;;;;Tango, Chachacha, Samba, Forro & Mambo;;;;;;;;;;bairesderetour@gmail.com;;;;;683434102;147005739;;;;Omar;15/04/2014
