Nom1;Logo;Photo;Type structure;Plusieurs lieux à Paris / En France;Nom2;Rue (adresse du lieu d'enseignement);CP;Info adresse;Latitude;Longitude;Jour(s) de fermeture;Accès handicapés ?;Centre de formation pro ?;Nombre de salles;Nombre de salles en location;Site web;Newsletter (à laquelle je souscris via l'adresse bloginfolbc@gmail.com);Réservation possible en ligne;Réservation obligatoire en ligne;Possibilité cours d'essai;Info cours d'essai;Prix cours d'essai;Info cours d'essai2;Adhésion annuelle obligatoire ?;Prix (à p. de) adhésion/inscription annuelle adultes;Prix (à p. de) adhésion/inscription annuelle enfants;Info inscription;Cours sans adhésion annuelle obligatoire;Formulaire d'inscription à remplir;Pour inscription : photocopie carte d'identité;Pour inscription : photo d'identité;Pour inscription : règlement sur place;Pour inscription : certificat médical de moins de 3 mois;Pour inscription : attestation d'assurance;Possibilité d'annulation sans frais;Limite avant annulation sans frais (en nombre de jours);Fixe;Portable;Mail;Mail2;Nom contact;Chèques vacances acceptés;Coupons Sports ANCV accepté;Tickets loisirs C.A.F. acceptés;Possibilité financement par l'AFDAS;Possibilité financement DIF;;;
Deep Side Center;Logo1;Photo1;Ecole privée;;;19 rue de Mont Louis;75011;;;;;;;2;2;http://www.deepside.eu/;;X;X;;;;;X;15;;;1er cours;Form1;X;1;X;X;;;;;06 77 13 61 00;;;Papy Nindo;;;;;;;;
Studio harmonic;Logo2;Photo2;Ecole privée;;;5 passage des Taillandiers;75011;;;;Dimanche;;X;8;8;http://www.studioharmonic.fr/;X;;;X;;;;X;32;20;;Cours individuel;;;;X;X;;;;01 48 07 13 39;;;;;Oui, uniquement pour les cartes;Oui, uniquement pour les cartes;Oui, uniquement pour les cartes;X;;;;
L’Académie de L’Acteur Oscar Sisto / Pascal Seguin;Logo3;Photo3;Ecole privée;;Théâtre du Marais;37 rue Volta;75003;;;;;;X;;;http://www.acadacteur.com/;;;;;;;;;50;;;;Form2;X;2;;;;;;01 44 64 13 88;;administration@acadacteur.com;;;;;;;;;;
Association Culturelle pour l'Expansion Musicale (ACEM);;;Association;;Cité Internationale des arts;18 rue de l’hotel de ville;75004;;;;;;;;;http://www.music-acem.com/;;;;;;;;;10;;;;Form3;;;;;;;;01 43 14 21 11;;contact@music-acem.com;;;;;;;;;;
ACP la Manufacture Chanson;;;Association;;;124 avenue de la République;75011;;;;;;X;;;http://www.manufacturechanson.org/;X;;;X;;;;;;;;;;;;;;;;;01 43 58 19 94;;acp@manufacturechanson.org;;;;;;X;X;;;
Académie Inter Musicale de Paris - Mistral;;;;;;16 villa Fréderic Mistral;75015;;;;;;;;;http://www.aimparis.fr/;;;;;;;;;;;;;;;;;;;;;01 78 76 67 63;;am15m@aimparis.fr;;;;;;;;;;
Académie Inter Musicale de Paris - Convention;;;;;;85 rue de l'Abbé-Groult;75015;;;;;;;;;http://www.aimparis.fr/;;;;;;;;;;;;;;;;;;;;;01 78 76 67 64;;am15m@aimparis.fr;;;;;;;;;;
Académie Inter Musicale de Paris - 14ème;;;;;;5, rue Boyer-Barret;75014;;;;;;;;;http://www.aimparis.fr/;;;;;;;;;;;;;;;;;;;;;01 78 76 67 63;;am14@aimparis.fr;;;;;;;;;;
Académie Inter Musicale de Paris - 13ème;;;;;;8, rue Albert Bayet;75013;;;;;;;;;http://www.aimparis.fr/;;;;;;;;;;;;;;;;;;;;;01 78 76 67 61;;am13@aimparis.fr;;;;;;;;;;
Académie Inter Musicale de Paris - 12ème;;;;;;8, rue Wattignies;75012;;;;;;;;;http://www.aimparis.fr/;;;;;;;;;;;;;;;;;;;;;01 78 76 67 62;;am12@aimparis.fr;;;;;;;;;;
Académie Inter Musicale de Paris - Bastille;;;;;;11, rue Amelot;75011;;;;;;;;;http://www.aimparis.fr/;;;;;;;;;;;;;;;;;;;;;01 78 76 67 60;;am11bastille@aimparis.fr;;;;;;;;;;
Académie Inter Musicale de Paris - Voltaire;;;;;;16, rue Gerbier;75011;;;;;;;;;http://www.aimparis.fr/;;;;;;;;;;;;;;;;;;;;;01 78 76 67 60;;am11voltaire@aimparis.fr;;;;;;;;;;
Académie Inter Musicale de Paris;;;;;;;;;;;;;;;;http://www.aimparis.fr/;;;;;;;;;;;;;;;;;;;;;01 45 65 01 02;;musicale@aimparis.fr;;;;;;;;;;
Allez Samba - 75011;;;Association;;Centre cours des Lions;9 rue Alphonse Baudin;75011;;;;;;;;;http://www.allez-samba.com/;;;;;;;;;28;;;;;;;;;;;;;;allez.samba@gmail.com;;;;;;;;;;
Allez Samba - 75006 Montaigne;;;Association;;Gymnase Lycée Montaigne;15 rue Auguste Compte;75006;;;;;;;;;http://www.allez-samba.com/;;;;;;;;;28;;;;;;;;;;;;;;allez.samba@gmail.com;;;;;;;;;;
Allez Samba - 75006 Fenelon;;;Association;;Gymnase Lycée Fenelon;Rue du Jardinet;75006;;;;;;;;;http://www.allez-samba.com/;;;;;;;;;28;;;;;;;;;;;;;;allez.samba@gmail.com;;;;;;;;;;
Office du Mouvement Sportif (OMS) du 11ème - Georges Rigal;;;Association;;Centre sportif Georges Rigal;115 boulevard de Charonne;75011;;;;;;;;;http://www.oms-paris11.org/;;;;;;;;;;;;;;;;;;;;;01 53 27 12 39;;oms-paris11@wanadoo.fr;;;;;;;;;;
Office du Mouvement Sportif (OMS) du 11ème - Cour des Lions;;;Association;;Gymnase Cour des Lions;9 rue Alphonse Baudin;75011;;;;;;;;;http://www.oms-paris11.org/;;;;;;;;;;;;;;;;;;;;;01 53 27 12 39;;oms-paris11@wanadoo.fr;;;;;;;;;;
Office du Mouvement Sportif (OMS) du 11ème - Maryse Hilsz;;;Association;;Centre sportif Maryse Hilsz;24 rue Maryse Hilsz;75020;;;;;;;;;http://www.oms-paris11.org/;;;;;;;;;;;;;;;;;;;;;01 53 27 12 39;;oms-paris11@wanadoo.fr;;;;;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 11ème;;;Association;;Centre Sportif André Chance;12 cour Debille;75011;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 10ème Saint Louis;;;Association;;Hôpital Saint Louis;1 avenue Claude Vellefaux;75010;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 1er;;;Association;;Gymnase S. Berlioux, Forum des Halles;4 place de la Rotonde;75001;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 4ème Saint-Merri;;;Association;;Gymnase Saint-Merri;16 rue du Renard;75004;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 10ème Lariboisière;;;Association;;Hôpital Lariboisière;2 rue Ambroise Paré ;75010;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 10ème St-Louis;;;Association;;Hôpital St-Louis;1 avenue Claude Vellefaux;75010;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 12ème Reuilly;;;Association;;Gymnase Reuilly;11 rue Henard;75012;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 12ème St-Antoine;;;Association;;Hôpital St-Antoine;184 rue du Fbg St-Antoine;75012;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 14ème;;;Association;;Hôpital Cochin;123 Boulevard de Port Royal;75014;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 15ème;;;Association;;Hôpital HEGP;20 rue Leblanc;75015;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 4ème Blancs Manteaux;;;Association;;Espace Blancs Manteaux;48 rue Vieille du Temple;75004;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 4ème Siège AP-HP;;;Association;;Siège AP-HP;3 avenue Victoria;75004;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 12ème Saint-Antoine;;;Association;;Hôpital Saint-Antoine;184 rue du Faubourg St-Antoine;75012;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 5ème L. Gaudin ;;;Association;;Gymnase L. Gaudin ;4 quai Saint Bernard;75005;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Association des Personnels Sportifs des Administrations Parisiennes de la Ville de Paris (APSAP-VP) - 5ème Amyot;;;Association;;Gymnase Amyot;3 rue Amyot;75005;;;;;;;;;http://www.apsap-vp.fr/;;;;;;;;;50;50;Pour les nouveaux inscrits la 1ère année seulement.;;Form4;;X;X;X;;;;01 43 79 69 87;;infos@apsap-vp.fr;;;;X;;;;;;
Arthéâct;;;;;Théâtre de la Danse;77, rue de Charonne;75011;;;;;;;;;http://www.artheact.com/;;;;;;;;;;;;;;;;;;;;;;06 21 50 30 23;;;;;;;;;;;
Claquettes, Swing, Danse Rythme et Mouvement (C.S.D.R.M.) - 75011ème Aljad;;;Association;;Salle de l'Aljad;78 rue Jeanne d'Arc;75013;;;;;;;;;http://www.claquettes-swing.fr/;;;;X;;12;;;26;26;;;;;;;;;;;01 40 33 02 77;06 66 50 06 37;lynegauthier@free.fr;;;;;;;;;;
Claquettes, Swing, Danse Rythme et Mouvement (C.S.D.R.M.) - 75010ème;;;Association;;Centre Le corps en mouvements;206 Rue Lafayette;75010;;;;;;;;;http://www.claquettes-swing.fr/;;;;X;;12;;;26;26;;;;;;;;;;;01 40 33 02 77;06 66 50 06 37;lynegauthier@free.fr;;;;;;;;;;
